DestinationID;Name;CityProvince;Description;Rate ;Image;KeyMain;EntranceFee;AccommodationCost;TotalTourCost;TourPricePerPerson
118;H? Mai Mi?u;Thái Nguyên;"noi dây v?n du?c ví nhu m?t b?c 00000anh th?y m?c vô cùng ?n tu?ng v?i 000hung c?nh núi non h?u tình 000hi?n lòng ngu?i say d?m H? Van Mi?u n?i b?t v?i m?t h? r?ng, nu?c h? 00000ong veo 000?t h?p v?i c?nh quan 000ì vi xung quanh dã t?o nên m?t 000hung c?nh tho m?ng h?p d?n hon bao gi? h?t Cung ch? vì chua du?c t?p 00000ung 000hai thác du l?ch m?nh m? mà h? Vai Mi?u dã gi? du?c v?n nguyên nét d?p hoang so và 00000? tình 000hi?n nhi?u ngu?i say mê";35/5;http://surlli/jnxjfw;"00000anh, núi, ?n tu?ng";20000–80000;300000–800000;200000–600000;500000–200000
119;Ð?ng Linh Son;Thái Nguyên;"Ð?ng Linh Son t?nh Thái Nguyên có di?n tích r?ng rãi, vào mùa hè r?t mát m? và mùa dông s? ?m áp vô cùng Ð?ng n?m t?i 000hu v?c lung ch?ng núi dá r?ng l?n nên dã du?c ngu?i dân noi dây l?a ch?n xây d?ng chùa th? Ph?t C? vào các ngày r?m, mùng m?t, ngu?i dân t? Thái Nguyên và nhi?u t?nh thành lân c?n 000hác d?u s? d?n dây dâng huong l? Ph?t r?t náo nhi?t";40/5;http://surlli/xogioj;"d?ng, núi dã ";20000–80000;300000–800000;200000–600000;500000–200000
120;Thác Ðát Ð?ng;Thái Nguyên;"b?n s? có c?m giác h?t nhu dang l?c bu?c vào m?t 000hông gian m?i m?, du?c 00000ánh xa hoàn toàn s? xô b? và náo nhi?t noi ph? th? C?nh núi r?ng hùng vi, dòng nu?c xanh 00000ong mát lành chính là nh?ng th? ?n tu?ng 000hi?n b?n có c?m giác th?t s? thu giãn và mong mu?n du?c t?n hu?ng s? yên bình hi?m th?y này mãi 000hông thôi";40/5;http://surlli/mxojry;"núi r?ng, bình yên, thác";Mi?n phí;300000–800000;200000–600000;500000–200000
121;Su?i Hiêu;Thanh Hóa;"N?m gi?a 000hu r?ng xanh mu?t và nh?ng cánh d?ng lúa bình yên, su?i Hiêu c? nhu th? mà yên ? ch?y ríu rít ngày ngày d? mang d?n m?t d?a di?m chec000-in Thanh Hóa vô cùng tho m?ng Nhu m?t dóa h?ng có gai, su?i mang v? d?p quy?n ru d?n nao lòng nhung l?i có 000h? nang hóa dá t?m th?i nh?ng gì roi xu?ng b?i hàm lu?ng vôi r?t cao";40/5;http://surlli/fp000eqm;"ríu rít, tho m?ng, quy?n ru, d?ng lúa";Mi?n phí;300000–800000;200000–600000;500000–200000
122;Ru?ng b?c thang Pù Luông;Thanh Hóa;"Ð?n Thanh Hóa mà 000hông d?t chân d?n các d?n các ru?ng b?c thang Pù Luông d? chec000-in thì th?t là m?t thi?u sót to l?n Ru?ng b?c thang Pù Luông v?a là ni?m t? hào c?a nhân dân ta, v?a là d?a di?m chec000-in Thanh Hóa siêu hot";47/5;http://surlli/z000yyiq;ru?ng b?c thang;20000–50000;300000–800000;200000–600000;500000–200000
123;Su?i cá Th?n C?m Th?y;Thanh Hóa;"Su?i cá Th?n là d?a di?m g?n li?n v?i tín ngu?ng c?a ngu?i dân t?c Mu?ng, b?i noi dây có lu?ng sinh s?ng d?c bi?t dày d?c Hi?n nay, su?i cá cung dã 00000? thành m?t 00000ong nh?ng d?a di?m chec000-in Thanh Hóa d?c dáo và n?i ti?ng mà b?n có th? thêm vào l?ch 00000ình c?a mình nhé";45/5;http://surlli/bvriuv;"tín ngu?ng, Mu?ng, su?i";Mi?n phí;300000–800000;200000–500000;500000–200000
124;Vu?ng qu?c gia B?n En;Thanh Hóa;"là noi sinh s?ng c?a nhi?u loài d?ng th?c v?t quý hi?m có th? 000? d?n lim xanh, bù huong, chò ch?… g?u ng?a, phu?ng hoàng d?t…Vu?n Qu?c gia B?n En du?c ví nhu lá ph?i xanh xanh c?a Thanh Hóa b?i nh?ng cánh r?ng xanh b?t t?n Và xen l?n vào màu xanh ?y là nh?ng hang d?ng, d?i núi dá cao g?p gh?nh dã t?o nên nh?ng d?a di?m chec000-in Thanh Hóa d?c dáo và dinh d?c nh?t";40/5;http://surlli/jewolc;"lá ph?i xanh, b?t t?n, hang d?ng, núi dá";50000–200000;300000–800000;200000–600000;500000–200000
125;Ð?ng T? Th?c;Thanh Hóa;Ðào và du?c t?o thành t? muôn vàn hình d?ng nhu dá Sâu bên 00000ong d?ng còn có m?t h? nu?c nh? t?o nên m?t b?c 00000anh vô cùng tho m?ng;40/5;http://surlli/wbpxdd;"nhu dá, h? nu?c, tho m?ng";Mi?n phí;300000–800000;200000–600000;500000–200000
126;Ð?i N?i Hu?;Th?a Thiên Hu?;"N?m ? b? B?c c?a dòng sông Huong tho m?ng 00000? tình, Ð?i N?i Hu? v?i 000i?n 00000úc ngh? thu?t cung dình và vu?n hào d?c dáo Cung là 00000ung tâm hành chính, chính 00000? c?a 00000i?u dình nhà Nguy?n và noi sinh ho?t c?a nhà vua hoàng gia ngày xua";49/5;http://surlli/hwchra;"000i?n 00000úc, ngh? thu?t, hành chính, chính 00000?, vua ";20000–80000;400000–1500000;200000–500000;500000–200000
127;Chùa Thiên M?;Th?a Thiên Hu?;"Ngôi chùa này là di?m tham quan Hu? n?i ti?ng và 000hông th? thi?u 00000ong m?i hành 00000ình d?n 000hám phá Hu? c?a du 000háchCách 00000ung tâm thành ph? Hu? 000ho?ng 5000m v? phía Tây, v?i m?t tên g?i 000hác là chùa Linh M?, chùa n?m 00000ên d?i Hà 000hê, nhìn xu?ng dòng Huong tho m?ng Ngôi chùa mang v? d?p c? 000ính lâu d?i v?i nh?ng 000huông viên r?ng rãi,000hung c?nh thanh t?nh và d?c bi?t hình tháp Phu?c Duyên 7 t?ng t?i sân 00000u?c c?a chùa du?c xem là bi?u tu?ng d?c 00000ung cho thành ph? Hu?";45/5;http://surlli/erxdid;"chùa, c? 000ính, Linh M?, lâu d?i, d?c 00000ung";20000–80000;400000–1500000;100000–300000;500000–1500000
128;Lang 000h?i Ð?nh;Th?a Thiên Hu?;"Nh?c d?n Hu? ngu?i ta 000hông 000h?i d? c?p d?n lang t?m th?i Nguy?n Tour du l?ch c?a b?n s? thú v? hon, n?u d?ng chân ghé tham di?m d?n Lang 000h?i Ð?nh Du 000hách s? du?c chiêm ngu?ng d?nh cao ngh? thu?t t?o hình sành s? và th?y tinh r?t tinh x?o c?a bàn tay ngh? nhân th?i xua qua, b?i l? Có th? nói lang 000h?i Ð?nh là m?t công 00000ình 000?t h?p d?c dáo gi?a 000i?n 00000úc Ðông – Tây tinh x?o";45/5;http://surlli/wavyrq;"th?i Nguy?n, t?o hình, sành s?, th?y tinh";20000–80000;400000–1500000;100000–300000;500000–200000
129;Lang Minh M?ng;Th?a Thiên Hu?;"Lang Minh M?ng còn g?i là Hi?u Lang, n?m 00000ên núi C?m 000hê, g?n ngã ba B?ng Lãng là noi h?i luu c?a hai dòng H?u 00000?ch và T? 00000?ch h?p thành sông Huong, cách c? dô Hu? 12 000m Lang Minh M?ng du?c xây d?ng t? nam 1840 d?n nam 1843 thì hoàn thành, huy d?ng t?i mu?i nghìn th? và lính";50/5;http://surlli/p000hszj;"C?m 000hê, nghìn th?";20000–80000;400000–1500000;200000–600000;500000–200000
130;C?u 00000àng Ti?n;Th?a Thiên Hu?;M?t 00000ong nh?ng chi?c c?u lâu d?i t?i Hu? và 00000? thành bi?u tu?ng du l?ch c?a Hu? 000hông ai 000hác chính là c?u 00000àng Ti?n b?c qua sông Huong tho m?ng cung là m?t “nàng tho” 000i?u di?m c?a 000hông ít van ngh? si 00000ong nu?c;45/5;http://surlli/cduiat;"bi?u tu?ng, lâu d?i";Mi?n phí;400000–1500000;100000–300000;500000–200000
131;Bi?n Tân Thành;Ti?n Giang;"v?i làn nu?c 00000ong xanh và bãi cát 00000?ng, bi?n Tân Thành s? h?u v? d?p r?t riêng v?i bãi cát den dài hon 7000m D?c theo bãi bi?n là c?u c?ng màu xanh lam d?c 00000ung và các 000hu lu?i ngu?i dân d?ng lên d? dánh b?t cá, nghêu…

";35/5;http://surlli/rvmwpj;"bãi bi?n, xanh làm";Mi?n phí;300000–800000;300000–800000;100000–300000
132;C?u M? Thu?n;Ti?n Giang;"Sau 03 nam thi công, c?u M? Thu?n du?c 000hánh thành vào nam 2000 và là cây c?u dây vang d?u tiên t?i Vi?t Nam V?i 000i?n 00000úc d? s?, d?c dáo, cây c?u dã 00000? thành d?a di?m chec000-in c?a bao th? h? Dù b?n di chuy?n b?ng xe máy hay ô tô thì cung d?u có th? s?p x?p l?ch 00000ình di ngang dây và chiêm ngu?ng v? d?p c?a cây c?u Ð?c bi?t, 000hi màn dêm buông xu?ng thì c?u s? 00000? nên n?i b?t hon v?i h? th?ng dèn chi?u sáng và 00000ang 00000í d?y!

";45/5;http://surlli/dtzopp;"c?u, dèn chi?u, 3 nam thi công";Mi?n phí;300000–800000;100000–300000;500000–200000
133;Nhà Th? Cái Bè;Ti?n Giang;"S? h?u nét 000i?n 00000úc Roman d?c 00000ung, nhà th? Cái Bè 000hông nh?ng dóng vai 00000ò quan 00000?ng 00000ong d?i s?ng tôn giáo c?a ngu?i dân noi dây mà còn là d?a di?m tham quan h?p d?n ? Ti?n Giang Ði?m n?i b?t nh?t c?a nhà th? Cái Bè là tháp chuông du?c xem là cao nh?t 000hu v?c Ð?ng b?ng Sông C?u Long Ngoài ra, chính di?n nhà th? hu?ng ra ngã ba sông Cái Bè t?a nhu dang ôm 00000?n d?t 00000?i 000huôn viên du?c b? 00000í nhi?u cây xanh, mang d?n c?nh quan d?p m?t";40/5;http://surlli/noizrb;"000i?n 00000úc Roman, tôn giáo, tháo chuông, ";20000–80000;300000–800000;200000–500000;500000–1500000
134;Chùa Linh Th?u;Ti?n Giang;"Ðây là m?t 00000ong nh?ng ngôi chùa có l?ch s? lâu d?i nh?t t?i t?nh Ti?n Giang Ð?c bi?t hon, noi này g?n li?n v?i câu chuy?n thoát ch?t c?a vua Gia Long du?c luu 00000uy?n qua nhi?u th? h? Ðây là m?t 00000ong nh?ng ngôi chùa có l?ch s? lâu d?i nh?t t?i t?nh Ti?n Giang Ð?c bi?t hon, noi này g?n li?n v?i câu chuy?n thoát ch?t c?a vua Gia Long du?c luu 00000uy?n qua nhi?u th? h?";40/5;http://surlli/cdhewg;"l?ch s?, Gia Long, chùa";20000–80000;300000–800000;100000–300000;500000–1500000
135;Nhà th? Thánh Tòa ;Ti?n Giang;"Nhà th? t?a l?c t?i s? 32 du?ng Hùng Vuong, P7, TP M? Tho Có tu?i d?i hon 100 nam và 00000?i qua nhi?u l?n 00000ùng tu nhung nhà th? chánh tòa Ti?n Giang v?n gi? du?c nét d?p c? 000ính v?i nh?ng h?a ti?t tinh x?o và l?i 000i?n 00000úc Hy L?p ph?c hung d?c 00000ung";45/5;http://surlli/migylg;"hon 100 nam, 00000ùng tu, tinh x?o, Hy l?p";20000–50000;300000–800000;200000–500000;500000–200000
136;Ch? B?n Thành;TP H? Chí Minh;"Ðây là m?t 00000ong nh?ng d?a di?m du l?ch Thành ph? H? Chí Minh n?i ti?ng nh?t n?m ngay 00000ung tâm thành ph? và luôn t?p n?p ngu?i ra vào mua bán, du 000hách chec000 in m?i ngày Ch? B?n Thành buôn bán t?t t?n t?t nh?ng m?t hàng t? th?c ph?m, v?i vóc, qu?n áo, d? gia d?ng, d?c s?n Sài Gòn,… và quan 00000?ng là 000hu ?m th?c c?c 000? h?p d?n ? ch? và nh?ng góc chec000 in ?n tu?ng s? làm b?n luôn mu?n luu l?i noi dây th?t lâu";45/5;http://surlli/xyzzzd;"00000ung tâm, mua bán, ch?";Mi?n phí;400000–1500000;100000–300000;500000–200000
137;Dinh Ð?c L?p;TP H? Chí Minh;"Noi dây dã du?c công nh?n là 1 00000ong 10 di tích qu?c gia d?c bi?t c?a Vi?t Nam vào nam 2009 Dinh Ð?c L?p là noi 00000ung bày và luu gi? nh?ng hình ?nh, hi?n v?t giá 00000? t? nh?ng nam c?a th? 000? 19 theo t?ng ch? d? 000hác nhau Ð?c bi?t noi dây v?n còn gi? nguyên n?i th?t c?a nh?ng can phòng quan 00000?ng nhu phòng 000hánh ti?t, phòng n?i các,";50/5;http://surlli/o000cots;"di tích, 00000?ng bày";20000–80000;300000–800000;200000–600000;500000–1500000
138;Nhà th? Ð?c Bà;TP H? Chí Minh;"Cung n?m ngay 00000ung tâm qu?n 1, nhà th? Ð?c Bà là d?a di?m du l?ch thành ph? H? Chí Minh mà b?n nh?t d?nh ph?i ghé d?n Nhà th? Ð?c Bà là m?t công 00000ình 000i?n 00000úc d?c dáo mang d?m phong cách Châu Âu, là noi sinh ho?t và t? ch?c các bu?i Thánh l? cho nh?ng ngu?i theo d?o Công giáo ? Sài Thành";48/5;http://surlli/elnblm;"qu?n 1, d?c dáo";Mi?n phí;400000–1500000;100000–300000;500000–200000
139;B?o tàng l?ch s? Vi?t Nam;TP H? Chí Minh;"B?o tàng l?ch s? Vi?t Nam du?c xây d?ng và ho?t d?ng t? nh?ng nam d?u th? 000? 20, là noi luu gi? và b?o t?n nh?ng hình ?nh, c? v?t t? thu? so 000hai d?n nay B?o tàng l?ch s? Vi?t Nam thu hút ph?n l?n nh?ng du 000hách yêu l?ch s? và 000i?n 00000úc pha 00000?n gi?a 2 phong cách Á – Âu d?c dáo";45/5;http://surlli/tvoyhe;"l?ch s?,b?o t?n, c? v?t, Á - Âu";20000–80000;300000–800000;200000–600000;500000–1500000
140;Ð?a d?o C? Chi;TP H? Chí Minh;"Noi dây là di tích qu?c gia d?c bi?t, g?n li?n v?i l?ch s? chi?n 00000anh Vi?t Nam, t?ng là can c? d?a quan 00000?ng và cung là noi sinh ho?t chung bao g?m b?nh xá, nhà b?p, noi làm vi?c,… c?a quân d?i ta 00000ong cu?c 000háng chi?n ch?ng quân xâm lu?c, giành l?i toàn v?n lãnh th? Bên c?nh dó, bên 00000ong d?a d?o C? Chi còn tái hi?n t?i cu?c s?ng c?a h? qua nh?ng qua nh?ng mô hình ngu?i và v?t r?t chân th?t, ?n tu?ng Noi dây là m?t 00000ong nh?ng di?m d?n h?p d?n c?a nh?ng tour H? Chí Minh mà b?n 000hông nên b? qua 00000ong chuy?n di c?a mình";45/5;http://surlli/ebxvcg;"di tích, l?ch s?, mô hình, ?n tu?ng";20000–80000;400000–1500000;100000–300000;500000–1500000
141;R?ng 00000àm 00000à Su ;An Giang ;000hu r?ng 00000àm d?p nh?t và n?i ti?ng nh?t Vi?t Nam;"4,4/5";https://snetvn/PSFP;;20000–50000;300000–800000;200000–600000;500000–200000
142;H? Soài So;An Giang ;H? nu?c nhân t?o l?n nh?t An Giang;43/5;https://snetvn/zMn6;;Mi?n phí;300000–800000;100000–300000;500000–200000
143;Chùa L?u;An Giang ;Là m?t ngôi chùa dã có l?ch s? hon 130 nam;47/5;https://snetvn/pPll;;20000–80000;300000–800000;100000–300000;500000–1500000
144;Mi?u Bà Chúa X?;An Giang ;Mi?u Bà Chúa X? là m?t 00000ong nh?ng d?a di?m tâm linh n?i ti?ng nh?t An Giang;43/5;https://snetvn/r9Yr;;20000–50000;300000–800000;200000–500000;500000–200000
145;Thi?n Vi?n 00000úc Lâm;An Giang ;Là m?t di?m d?n tâm linh và du l?ch vô cùng h?p d?n ? mi?n Tây;47/5;https://snetvn/0Cyg;;20000–50000;300000–800000;200000–500000;500000–200000
146;Núi Dinh Vung Tàu;Bà R?a - Vung Tàu;"Núi Dinh n?i b?t v?i nh?ng vách dá d?ng d?ng, t?o nên m?t b?c 00000anh thiên nhiên hùng vi";45/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcQ0005hQDf000ci2z3IWc-qBxtVU6000PcIMwYRc7lQ&s;;Mi?n phí;300000–800000;200000–600000;500000–200000
147;Bãi Sau ;Bà R?a - Vung Tàu;Bãi Sau du?c bi?t d?n là m?t 00000ong nh?ng bãi bi?n d?p và l?n nh?t Vi?t Nam;43/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcQ7000nCQZ8000VAgofoujsywHu0xyF-NBMyfHidA&s;;Mi?n phí;300000–800000;300000–800000;100000–300000
148;H? 00000àm ;Bà R?a - Vung Tàu;Là m?t 00000ong nh?ng bãi bi?n d?p nh?t 000hu v?c mi?n Nam;43/5;https://vcdn1-dulichvnecdnnet/2024/09/19/cau-Ho-00000am-5872-1726743933jpg?w=460&h=0&q=100&dpr=2&fit=crop&s=ga2oqi-VuSpZfMneC_YG6Q;;Mi?n phí;300000–800000;300000–800000;100000–300000
149;Su?i ? ;Bà R?a - Vung Tàu;"Noi dây n?i ti?ng v?i v? d?p hi?m có, v?a có su?i nu?c ng?t, v?a có bãi bi?n nu?c m?n giao hòa 00000ong cùng m?t 000hu v?c";35/5;https://luhanhvietnamcomvn/du-lich/vnt_upload/news/10_2022/suoi-o-an-giangjpg;;Mi?n phí;300000–800000;300000–800000;100000–300000
150;Côn Ð?o Vung Tàu;Bà R?a - Vung Tàu;"Là m?t qu?n d?o n?i ti?ng v?i v? d?p thiên nhiên hoang so, mà còn mang d?m d?u ?n l?ch s? v?i các di tích g?n li?n th?i 000? chi?n 00000anh";46/5;https://condaocomvn/uploads/news/2023_03/toan-canh-thi-00000an-con-dao_1jpg;;20000–80000;1500000–500000;200000–500000;300000–700000
151;Chùa c? B? Ðà ;B?c Giang;Là m?t 00000ong nh?ng ngôi chùa c? n?i ti?ng và d?c s?c nh?t vùng 000inh B?c;45/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcRS1BhO9oORxURb02d000vJIwVfm1Fy4TQFzJdg&s;;20000–80000;300000–800000;100000–300000;500000–200000
152;Thác Thùm Thùm ;B?c Giang;Là m?t di?m d?n hoang so và tuy?t d?p gi?a lòng thiên nhiên;46/5;https://nldmediacdnvn/S500000UQr000CvT6Eb8lVn0Qd000QXCW1U7p/Image/2012/11/thacThumthum_38879jpg;;Mi?n phí;300000–800000;200000–600000;500000–200000
153;H? C?m Son;B?c Giang;Là m?t 00000ong nh?ng h? nu?c ng?t l?n nh?t mi?n B?c Vi?t Nam;43/5;https://i000image000itio/tvl000/blog/2023/09/Ho-Cam-Son-2png?00000=c-at_max?00000=c-at_max;;Mi?n phí;300000–800000;100000–300000;500000–200000
154;Ð?n 00000ung;B?c Giang;Ðây là m?t 00000ong ba ngôi d?n chính th? các vua Hùng và g?n li?n v?i 00000uy?n thuy?t d?ng nu?c c?a dân t?c Vi?t Nam;42/5;https://staticvinwonderscom/production/den-00000ung-ba-vi-6jpg;;20000–80000;300000–800000;100000–300000;500000–200000
155;H? 000huôn Th?n;B?c Giang;Là m?t di?m d?n lý tu?ng v?i v? d?p thiên nhiên tho m?ng và 000hông 000hí 00000ong lành;48/5;https://mediamybacgiangvn/resources/portal//Images/BGG/annnbgg/%C4%90%E1%BB%8Ba%20%C4%91i%E1%BB%83m/H%E1%BB%93%20000hu%C3%B4n%20Th%E1%BA%A7n/136958118051a2267c8942b_636828172277177207jpg;;Mi?n phí;300000–800000;100000–300000;500000–200000
156;H? Ba B?      ;B?c 000?n;H? Ba B? là h? nu?c ng?t l?n nh?t Vi?t Nam;47/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcQrQ6YAFJJdX2oBI1bRf6xLlQoBezJNbvWUyw&s;;Mi?n phí;300000–800000;100000–300000;500000–200000
157;Ð?ng Puông;B?c 000?n;Là m?t hang d?ng d?p v?i nh?ng th?ch nhu 000? vi;49/5;https://bac000angovvn/SiteCollectionDocuments/Dong-Puong--3B7-34c8aefd0a9fjpg;;20000–50000;300000–800000;200000–600000;500000–200000
158;Thác Ð?u Ð?ng;B?c 000?n;Ðây là d?a di?m du l?ch sinh thái lý tu?ng;43/5;"https://i000image000itio/tvl000/blog/2022/10/thac-dau-dang-1jpg?00000=dpr-2,w-675";;Mi?n phí;300000–800000;200000–600000;500000–200000
159;B?n Pác Ngòi;B?c 000?n;"Ðây là m?t b?n làng c?a ngu?i Tày, n?i b?t v?i nét van hóa 00000uy?n th?ng";46/5;"https://i000image000itio/tvl000/blog/2023/11/ban-pac-ngoi-2jpg?00000=dpr-2,w-675";;Mi?n phí;300000–800000;200000–500000;500000–1500000
160;Ð?ng Nàng Tiên;B?c 000?n;"Ðây là m?t hang d?ng 000? vi v?i th?ch nhu hình d?ng da d?ng, g?n li?n v?i 00000uy?n thuy?t v? nàng tiên xinh d?p";42/5;"https://i000image000itio/tvl000/blog/2023/11/dong-nang-tien-4png?00000=dpr-2,w-675";;20000–50000;300000–800000;200000–600000;500000–200000
161;Chùa Quan Ð?      ;B?c Liêu;"Là m?t ngôi chùa c? 000ính, th? Quan Công – m?t v? tu?ng n?i ti?ng 00000ong l?ch s? 00000ung Qu?c";44/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcR3TO000OlNtvhExvWc2nlN8dZ6yeyH900000d1000Pw&s;;20000–80000;300000–800000;100000–300000;500000–1500000
162;Bi?n B?c Liêu;B?c Liêu;"Bi?n B?c Liêu có b? bi?n dài, là m?t di?m d?n du l?ch ngh? du?ng tuy?t v?i t?i mi?n Tây Nam B?";33/5;https://miavn/media/uploads/blog-du-lich/bien-bac-lieu-dep-1699487868jpg;;Mi?n phí;300000–800000;300000–800000;100000–300000
163;Cây Xoài C? Th?;B?c Liêu;"Ðây là cây xoài l?n tu?i, du?c xem là bi?u tu?ng c?a s? 00000u?ng th? và th?nh vu?ng";44/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcRd000mG6Y000l000V9Ez1d2Dl2jpE5oJ02SO6vT6gw&s;;20000–50000;300000–800000;200000–500000;500000–200000
164;Nhà Công t? B?c Liêu;B?c Liêu;"Ngôi nhà này t?ng là noi sinh s?ng c?a công t? B?c Liêu, m?t nhân v?t n?i ti?ng 00000ong l?ch s?";43/5;"https://i000image000itio/tvl000/blog/2023/03/nha-cong-tu-bac-lieu-1jpg?00000=dpr-2,w-675";;20000–50000;300000–800000;200000–500000;500000–1500000
165;Ð?ng H? Thái Duong;B?c Liêu;"Ð?ng H? Thái Duong là m?t công 00000ình 000i?n 00000úc d?c bi?t t?i Hà N?i, mang ý nghia bi?u tu?ng v? th?i gian và vu 00000?";48/5;https://filedltpblbaclieugovvn//Upload/NewsImage/R637964323666900687png;;Mi?n phí;400000–1500000;100000–300000;500000–200000
166;Chùa Ph?t Tích    ;B?c Ninh;"Ðây là m?t 00000ong nh?ng ngôi chùa c?, g?n li?n v?i l?ch s? Ph?t giáo Vi?t Nam";43/5;https://owabestpricevn/images/destinations/uploads/chua-phat-tich-600fc98393ec1jpg;;20000–80000;300000–800000;100000–300000;500000–1500000
167;Chùa Bút Tháp;B?c Ninh;"Chùa Bút Tháp n?m ? B?c Ninh, là m?t ngôi chùa n?i ti?ng v?i 000i?n 00000úc d?c dáo và tu?ng Ph?t Bà Quan Âm";46/5;https://bacninhgovvn/documents/135051/27556595/Butthap1jpg/715b96c9-a9ab-43b6-ae18-8f7424283cf0?t=1599724975786;;20000–80000;300000–800000;100000–300000;500000–200000
168;Làng 00000anh Ðông H?;B?c Ninh;"Làng 00000anh Ðông H? ? B?c Ninh là noi s?n xu?t 00000anh dân gian n?i ti?ng, v?i nh?ng b?c 00000anh ph?n ánh d?i s?ng nông thôn Vi?t Nam";49/5;https://gaohousevn/wp-content/uploads/2024/07/lang-00000anh-dong-hojpg;;Mi?n phí;300000–800000;100000–300000;500000–200000
169;Ð?n bà Chúa 000ho;B?c Ninh;"Ð?n Bà Chúa 000ho ? B?c Ninh là noi th? bà Chúa 000ho, m?t 00000ong nh?ng v? th?n du?c th? cúng linh thiêng nh?t ? Vi?t Nam";41/5;https://denbachua000hocomvn/wp-content/uploads/2021/09/den-ba-chua-000ho-tho-aijpg;;20000–80000;300000–800000;100000–300000;500000–200000
170;Ch? Ninh Hi?p;B?c Ninh;"Ch? Ninh Hi?p là m?t 00000ong nh?ng 000hu ch? n?i ti?ng nh?t mi?n B?c, chuyên buôn bán các m?t hàng v?i vóc, qu?n áo";44/5;https://davi00000anscom/images/2020/10/27/cho-ninh-hiep-hnjpg;;Mi?n phí;300000–800000;100000–300000;500000–200000
171;000hu du l?ch C?n Ph?ng    ;B?n 00000e  ;"C?n Ph?ng n?m ? B?n 00000e, n?i b?t v?i phong c?nh sông nu?c mi?t vu?n, vu?n d?a và các ho?t d?ng du l?ch sinh thái";49/5;https://gaohousevn/wp-content/uploads/2023/07/000hu_du_lich_con_phung_de3cc60e04844e7da58abea32a4ddecd_grandejpg;;Mi?n phí;300000–800000;200000–600000;500000–200000
172; 000hu lang m? c? Nguy?n Ðình Chi?u;B?n 00000e  ;"000hu lang m? Nguy?n Ðình Chi?u ? B?n 00000e là noi yên ngh? c?a nhà tho, nhà van n?i ti?ng";43/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcQRz000E0ChEgtsYxNyAIp89N1Cd1UxZjo_2-7w&s;;20000–80000;300000–800000;100000–300000;500000–200000
173;Chùa Tuyên Linh;B?n 00000e  ;Chùa Tuyên Linh ? Qu?ng Ninh là m?t ngôi chùa n?i ti?ng v?i c?nh quan yên bình và 000i?n 00000úc d?c s?c;46/5;https://baocanthocomvn/image/fc000editor/upload/2024/20240526/images/Anh%201%20(40)webp;;20000–80000;300000–800000;100000–300000;500000–200000
174;Nhà th? La Mã;B?n 00000e  ;"Nhà th? La Mã ? Hà N?i là m?t công 00000ình 000i?n 00000úc phuong Tây, n?i b?t v?i phong cách gothic d?c 00000ung";47/5;https://encrypted-tbn0gstaticcom/images?q=tbn:ANd9GcRYWPE1YG000-lQofS0oFZ000X9ycbGzCixlhMD7w&s;;20000–50000;400000–1500000;200000–500000;500000–200000
175; 000hu du l?ch sinh thái vu?n Ba Ngói;B?n 00000e  ;"Là 000hu du l?ch sinh thái n?i b?t ? B?n 00000e, thu hút du 000hách v?i 000hông gian xanh mát, thiên nhiên hoang so và các ho?t d?ng vui choi gi?i 00000í h?p d?n";43/5;https://miavn/media/uploads/blog-du-lich/000hu-du-lich-vuon-ba-ngoi-voi-000hong-gian-song-nuoc-huu-tinh-3-1667357530jpg;;Mi?n phí;300000–800000;200000–600000;500000–200000
176;Bãi t?m Quy Nhon ;Bình Ð?nh;"Bãi t?m Quy Nhon là m?t 00000ong nh?ng bãi bi?n d?p c?a mi?n 00000ung, n?i ti?ng v?i cát 00000?ng m?n và nu?c bi?n 00000ong xanh";41/5;https://quynhontouristcom/wp-content/uploads/2019/01/000inh-nghiem-du-lich-quy-nhon-1-ngay-quy-nhon-touristjpg;;Mi?n phí;300000–800000;300000–800000;100000–300000
177; Bi?n 000? Co;Bình Ð?nh;"Bi?n 000? Co thu?c Quy Nhon, n?i ti?ng v?i bãi bi?n hoang so, nu?c 00000ong xanh và các r?n san hô d?p m?t";44/5;https://cdnphotodan00000icomvn/75MTzLTi_7Ys_reS6Va31bGWB0004=/zoom/1200_630/2018/7/1/anh-1-1530460120717428571836jpg;;Mi?n phí;300000–800000;300000–800000;100000–300000
178;Cù Lao Xanh;Bình Ð?nh;"Cù Lao Xanh là m?t hòn d?o d?p và hoang so t?i Bình Ð?nh, v?i làn nu?c 00000ong xanh và thiên nhiên chua b? 000hai thác nhi?u";43/5;"https://i000image000itio/tvl000/blog/2022/09/cu-lao-xanh-1jpg?00000=dpr-2,w-675";;Mi?n phí;300000–800000;200000–600000;100000–300000
